部門コード,部門略称,車番,適用日FROM,適用日TO,所属会社コード,所属会社略称,所属部門コード,所属部門略称,自車傭車区分,自車傭車区分名称,所属会社区分,変更内容,車種コード,車種略称,乗務員コード,乗務員名称,作業会社名称,積載区分,積載区分名称,配車区分,配車区分略称,配車配置区分,配車配置区分名称,配車配置順,登録番号１,登録番号２,登録番号３,登録番号４,車両登録年月日,初年度登録,自動車種別,用途,自・事の別,車体の形状,車名,通称車名,乗務定員１,乗務定員２,積載重量１,積載重量２,車両重量,車両総重量１,車両総重量２,車台番号,長さ,幅,高さ,前前軸重,前後軸重,後前軸重,後後軸重,型式,原動機の型式,総排気量,燃料の種類,燃料の種類略称,型式指定番号,類別区分番号,ポイント,備考,使用停止フラグ,登録日,登録時刻,登録社員コード,更新日,更新時刻,更新社員コード
"02","小名浜営業所","1589","20061109","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","031","Ｏ　塩酸","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","いわき","830","あ","1589","20101207","200611","2","2","1","01","07","","2","0","10530","0","11160","21800","0","CD4YL-00304","949","249","301","4670","0","3860","2630","ADG-CD4YL","GE13","13","2","軽油","","","0","","1","20180718","230156","SYSTEM","20190425","154352","000002"
"02","小名浜営業所","17","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","032","Ｐ　次亜","001004","下山田松男","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","いわき","130","か","17","20121129","201202","2","1","1","09","02","","2","0","13700","0","8140","21950","0","FR1APB-10412","954","249","283","4270","0","2290","1580","QKG-FR1APBG","A09C","9","2","軽油","","","0","","1","20180718","230156","SYSTEM","20201119","141940","000002"
"02","小名浜営業所","18","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","031","Ｏ　塩酸","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","いわき","130","う","18","20130606","201306","2","1","1","09","02","","2","0","13700","0","8120","21930","0","FR1APB-10551","954","249","283","4260","0","2280","1580","QKG-FR1APBG","A09C","9","2","軽油","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"01","東京営業所","1800","20060901","99999999","00000     0100000","自社","01","東京営業所","1","自車","1","","060","ａ　吉田化","001008","小島　文彦","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","足立","800","か","1800","20060808","200608","2","2","1","01","07","","2","0","11390","0","10400","21900","0","CD4YL-00305","935","249","297","4690","0","3400","2310","ADG-CD4YL","GE13","13","2","軽油","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"02","小名浜営業所","19","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","030","Ｎ　苛性","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","いわき","130","あ","19","20131114","200910","2","1","1","09","07","","2","0","13100","0","8720","21930","0","CD4YA-30167","938","249","295","4520","0","2480","1720","ADG-CD4YA","GE13","13","2","軽油","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"01","東京営業所","2315","20091101","99999999","00000     0100000","自社","01","東京営業所","1","自車","1","","060","ａ　吉田化","001029","上原　勉","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","足立","800","か","2315","20091021","200512","2","2","1","01","04","","2","0","11370","0","10140","21620","0","FU54JY-540018","934","249","290","4470","0","2980","2690","PJ-FU54JY","6M70","13","2","軽油","","","0","平成27年8月28日（金）から米山さんに運転手変更、9/1から2315車から670車に乗車変更","0","20180718","230156","SYSTEM","20190919","142052","000003"
"02","小名浜営業所","299","20100818","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","031","Ｏ　塩酸","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","いわき","830","あ","299","20120824","200702","2","2","1","01","07","","2","0","13330","0","11450","24890","0","CD4ZL-00419","1153","249","304","5020","0","3370","3060","ADG-CD4ZL","GE13","13","2","軽油","","","0","","0","20180718","230156","SYSTEM","20180718","232201","000001"
"01","東京営業所","3170","20180301","99999999","00000     0100000","自社","01","東京営業所","1","自車","1","","098","ﾄﾗｸﾀ-(東京","001066","井上奈美","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","","","","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20180718","230156","SYSTEM","20180803","111453","000003"
"01","東京営業所","3219","20170801","99999999","00000     0100000","自社","01","東京営業所","1","自車","1","","072","Ｍ　メタノ","001025","金子　勝彦","","0","５tまで","999","なし","1","配車配置ボタンの対象とする","1","","","","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20180718","230156","SYSTEM","20190717","114817","000003"
"01","東京営業所","3247","20170901","99999999","00000     0100000","自社","01","東京営業所","1","自車","1","","072","Ｍ　メタノ","001052","銅谷和久","","0","５tまで","999","なし","1","配車配置ボタンの対象とする","1","","","","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20180718","230156","SYSTEM","20190919","142026","000003"
"02","小名浜営業所","384","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","030","Ｎ　苛性","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","いわき","100","え","384","20070829","200106","2","1","1","08","09","","0","0","0","23900","4010","0","27910","愛〔51〕14167愛","1099","249","155","0","0","1520","1520","CTB220AT","","0","","","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"06","仙台営業所","4055","20000101","99999999","00000     0600000","自社","06","仙台営業所","1","自車","1","","040","Ｓ　硫酸ﾊﾞ","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","宮城","800","か","4055","20120229","201202","2","2","1","01","02","","2","0","12670","0","9160","21940","0","FR1APB-10296","946","249","305","4330","0","2880","1950","LKG-FR1APBG","A09C","0","2","軽油","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"02","小名浜営業所","4247","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","071","z　ﾄﾗｸﾀ","","","","0","５tまで","999","なし","1","配車配置ボタンの対象とする","1","いわき","130","あ","4247","20160328","201603","2","1","1","03","02","","2","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20180718","230156","SYSTEM","20190221","134234","000002"
"06","仙台営業所","6340","20170512","99999999","00000     0600000","自社","06","仙台営業所","1","自車","1","","006","Ｆ　A重油","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","宮城","830","あ","6340","20170510","201603","2","2","1","01","02","","2","0","12900","0","8830","21840","0","GN1APE-10605","933","249","298","3220","3210","0","2400","QKG-GN1APEC","A09C","9","2","軽油","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"02","小名浜営業所","643","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","030","Ｎ　苛性","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","いわき","800","か","643","20140620","200806","2","2","1","01","07","","2","0","12000","0","9720","21830","0","CD4YA-30065","907","249","297","4670","0","2980","2070","ADG-CD4Y","GE13","13","2","軽油","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"06","仙台営業所","4378","20000101","99999999","00000     0600000","自社","06","仙台営業所","1","自車","1","","061","ｂ　東曹産","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","宮城","800","か","4378","20150212","200311","2","2","1","01","02","","2","0","11300","0","10230","21640","0","GN2PPH50234","911","250","310","3610","3200","0","3420","KL-GN2PPHA","P11C","11","2","軽油","","","0","","0","20180718","230156","SYSTEM","20181108","142834","000002"
"02","小名浜営業所","540","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","040","Ｓ　硫酸ﾊﾞ","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","いわき","800","か","540","20031028","200310","2","2","1","01","07","","2","0","13310","0","11450","24870","0","CD48J30174","1141","249","300","4750","0","3510","3190","KL-CD48J","GE13","14","2","軽油","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"06","仙台営業所","5486","20170915","99999999","00000     0600000","自社","06","仙台営業所","1","自車","1","","001","Ａプロセス","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","宮城","800","か","5486","20170915","201709","2","2","1","01","03","","2","0","9430","0","10940","20480","0","CYE60BM-7000125","940","249","304","3370","0","3800","3770","QKG-CYE60BM","6NX1","8","2","軽油","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"06","仙台営業所","560","20000101","99999999","00000     0600000","自社","06","仙台営業所","1","自車","1","","040","Ｓ　硫酸ﾊﾞ","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","宮城","830","あ","560","20120229","201202","2","2","1","01","02","","2","0","12400","0","9380","21890","0","FR1APB-10292","939","249","304","4420","0","2930","2030","LKG-FR1APBG","A09C","9","2","軽油","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"01","東京営業所","667","20160601","99999999","00000     0100000","自社","01","東京営業所","1","自車","1","","072","Ｍ　メタノ","001052","銅谷和久","","0","５tまで","999","なし","1","配車配置ボタンの対象とする","1","","","","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20180718","230156","SYSTEM","20191009","094953","000003"
"02","小名浜営業所","700","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","030","Ｎ　苛性","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","いわき","830","い","700","20080304","200401","2","2","1","01","07","","2","0","12000","0","9780","21890","0","国［01］067965","935","247","300","4370","0","3210","2200","KL-CD48E","GE13","13","2","軽油","","","0","","1","20180718","230156","SYSTEM","20190221","104925","000004"
"06","仙台営業所","71","20170906","99999999","00000     0600000","自社","06","仙台営業所","1","自車","1","","006","Ｆ　A重油","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","宮城","830","あ","71","20070612","200203","2","2","1","01","07","","1","0","15300","0","9550","24905","0","CD48ZV00809","1195","249","298","4370","0","2750","2430","KL-CD48ZVH","GE13","13","2","軽油","","","0","","1","20180718","230156","SYSTEM","20190930","142615","000001"
"01","東京営業所","718","20160601","99999999","00000     0100000","自社","01","東京営業所","1","自車","1","","072","Ｍ　メタノ","001030","米山　勝","","0","５tまで","999","なし","1","配車配置ボタンの対象とする","1","","","","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20180718","230156","SYSTEM","20201015","135802","000003"
