部門コード,部門略称,車番,適用日FROM,適用日TO,所属会社コード,所属会社略称,所属部門コード,所属部門略称,自車傭車区分,自車傭車区分名称,所属会社区分,変更内容,車種コード,車種略称,乗務員コード,乗務員名称,作業会社名称,積載区分,積載区分名称,配車区分,配車区分略称,配車配置区分,配車配置区分名称,配車配置順,登録番号１,登録番号２,登録番号３,登録番号４,車両登録年月日,初年度登録,自動車種別,用途,自・事の別,車体の形状,車名,通称車名,乗務定員１,乗務定員２,積載重量１,積載重量２,車両重量,車両総重量１,車両総重量２,車台番号,長さ,幅,高さ,前前軸重,前後軸重,後前軸重,後後軸重,型式,原動機の型式,総排気量,燃料の種類,燃料の種類略称,型式指定番号,類別区分番号,ポイント,備考,使用停止フラグ,登録日,登録時刻,登録社員コード,更新日,更新時刻,更新社員コード
"02","小名浜営業所","A1589","20181026","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","031","Ｏ　塩酸","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","いわき","830","い","1589","20181026","201810","2","2","1","01","02","","2","0","10630","0","11180","21920","0","FR1AJ-100292","956","249","298","4620","0","3440","3120","2PG-FR1AJG","A09C","886","2","軽油","","","0","","0","20181027","150403","000002","20181027","150403","000002"
"08","九州営業所","66666","20180901","99999999","00000     0800000","自社","08","九州営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","","","","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20181203","131338","000004","20181203","131421","000004"
"08","九州営業所","C2175","20190308","99999999","00000     0800000","自社","08","九州営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","","","","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20190311","101909","000007","20190311","101909","000007"
"02","小名浜営業所","530","20190327","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","040","Ｓ　硫酸ﾊﾞ","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","いわき","830","あ","530","20190327","201903","2","2","2","01","15","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20190330","112313","000002","20190330","112313","000002"
"06","仙台営業所","6471","20190919","99999999","00000     0600000","自社","06","仙台営業所","1","自車","1","","014","平ボディ","","","","0","５tまで","999","なし","1","配車配置ボタンの対象とする","1","宮城","100","い","6471","20160928","200503","2","1","1","05","04","","2","0","3550","0","4310","7970","0","FK61FK-771593","846","226","278","2470","0","0","1840","PA-FK61FK","6M60","754","2","軽油","","","0","","1","20190927","110851","000006","20210929","083700","000001"
"08","九州営業所","2781","20200301","99999999","00000     0800000","自社","08","九州営業所","1","自車","1","","099","その他","","","","","","999","なし","0","配車配置ボタンの対象としない","0","北九州","100","き","2781","20170120","201110","2","1","1","03","15","","2","2","32690","10300","6900","39700","17310","GK5XA-00975","555","249","296","4730","0","0","2170","LKG-GK5XAB","GH11","0","3","ＬＰＧ","","","0","","0","20200317","151814","000007","20200317","151814","000007"
"07","川崎営業所","A718","20200801","99999999","00000     0700000","自社","07","川崎営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","","","","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20200819","110218","000005","20200819","110218","000005"
"01","東京営業所","1703","20200728","99999999","00000     0100000","自社","01","東京営業所","1","自車","1","","060","ａ　吉田化","001060","本間裕康","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","0","足立","101","か","1703","20121129","201211","2","1","1","09","02","","2","0","13700","0","8140","21950","0","FR1APB-10412","954","249","283","4270","0","2290","1580","QKG-FR1APBG","A09C","886","2","軽油","","","0","","0","20200731","104918","000003","20201015","135827","000003"
"08","九州営業所","2637","20210623","99999999","00000     0800000","自社","08","九州営業所","1","自車","1","","099","その他","","","","","","999","なし","0","配車配置ボタンの対象としない","0","北九州","800","か","2637","20210623","202106","2","2","1","01","02","","2","0","11120","0","10120","21350","0","FN1AJ-101922","933","249","293","3290","3770","0","3060","2PG-FN1AJG","A09C","0","2","軽油","","","0","","0","20210623","113739","000007","20210623","113739","000007"
"01","東京営業所","1104","20210901","99999999","00000     0100000","自社","01","東京営業所","1","自車","1","","060","ａ　吉田化","001008","小島　文彦","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","0","つくば","800","か","1104","20210831","202108","1","2","1","01","04","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20210903","150910","000003","20210903","150910","000003"
"08","九州営業所","2648","20210927","99999999","00000     0800000","自社","08","九州営業所","1","自車","1","","099","その他","","","","","","999","なし","0","配車配置ボタンの対象としない","0","北九州","800","か","2648","20210927","202109","2","2","1","01","02","","2","0","12800","0","9080","21990","0","FN1AJ-102065","944","249","299","2970","3550","0","2560","2PG-FN1AJG","A09C","0","2","軽油","","","0","","0","20210927","140202","000007","20210927","140202","000007"
"01","東京営業所","2363","20220401","99999999","00000     0100000","自社","01","東京営業所","1","自車","1","","072","Ｍ　メタノ","","","","","","999","なし","0","配車配置ボタンの対象としない","0","","","","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20220411","133309","000003","20220411","133309","000003"
"02","小名浜営業所","A895","20220607","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","001","Ａプロセス","","","","1","５t以上","999","なし","0","配車配置ボタンの対象としない","1","いわき","830","あ","895","20121023","201210","2","2","1","01","01","","2","0","10340","0","10640","21090","0","GN1APB-10548","930","250","314","3610","3530","0","3500","GKG-GN1APBG","A09C","9","2","軽油","","","0","","1","20220608","090131","000001","20231201","142718","000001"
"02","小名浜営業所","1447","20221221","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","001","Ａプロセス","","","","1","５t以上","999","なし","0","配車配置ボタンの対象としない","0","いわき","800","か","1447","20160517","200603","2","2","1","01","02","","2","0","11280","0","9690","21080","0","GN2PPW-10581","913","249","289","3690","3090","0","2910","PK-GN2PPWA","P11C","1052","2","軽油","","","0","","0","20221221","110902","000001","20221221","110902","000001"
"06","仙台営業所","C895","20230831","99999999","00000     0600000","自社","06","仙台営業所","1","自車","1","","001","Ａプロセス","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","宮城","830","い","895","20230913","202309","2","2","1","01","04","","2","0","10340","0","11120","21570","0","FU4GY-545019","971","249","315","4500","0","3450","3170","2PG-FU74GY","6S10","7","2","軽油","","","0","","0","20230919","152024","000002","20230919","152024","000002"
"01","東京営業所","3320","20180820","99999999","00000     0100000","自社","01","東京営業所","1","自車","1","","072","Ｍ　メタノ","001011","宮腰　真也","","0","５tまで","999","なし","0","配車配置ボタンの対象としない","0","足立","800","か","3320","20180820","201808","2","2","1","01","02","","2","0","11200","0","10100","21410","0","FN1AJ-100342","935","249","301","3300","3790","0","3010","2PG-FN1AJG","A09C","886","2","軽油","","","0","","0","20180925","110743","000003","20201015","135819","000003"
"02","小名浜営業所","A299","20190507","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","031","Ｏ　塩酸","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","0","いわき","830","い","299","20190507","201905","2","2","1","01","15","","2","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20190511","103635","000002","20190511","103635","000002"
"01","東京営業所","3427","20190706","99999999","00000     0100000","自社","01","東京営業所","1","自車","1","","060","ａ　吉田化","001054","土屋勝三","","","","999","なし","1","配車配置ボタンの対象とする","1","足立","800","か","3427","20190703","201907","2","2","1","01","15","","2","0","11310","0","10480","21900","0","JNCMBNOC3KU040288","947","249","297","4600","0","3080","2800","2PG-CD5BA","GH11","1083","2","軽油","","","0","","0","20190712","115224","000003","20190712","115224","000003"
"01","東京営業所","66700","20190701","99999999","00000     0100000","自社","01","東京営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","","","","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20190807","130247","000004","20190820","145809","000004"
"07","川崎営業所","3677","20210409","99999999","00000     0700000","自社","07","川崎営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","","","","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20210409","115030","000005","20210409","115030","000005"
"08","九州営業所","2763","20230214","99999999","00000     0800000","自社","08","九州営業所","1","自車","1","","099","その他","","","","","","999","なし","0","配車配置ボタンの対象としない","0","北九州","800","か","2763","20230214","202302","2","2","1","01","15","","2","0","11520","0","10160","21790","0","JNCMBM0C2PU078208","942","249","295","4530","0","2960","2670","2PG-CD4EA","GH8F","0","2","軽油","","","0","","0","20230217","114740","000007","20230217","114740","000007"
"02","小名浜営業所","1137","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","072","Ｍ　メタノ","","","","1","５t以上","999","なし","0","配車配置ボタンの対象としない","1","いわき","100","え","1137","20230522","200801","2","1","1","08","13","","0","0","0","23500","4410","0","27910","KFKDH220-74167","1115","247","171","0","0","1660","1660","KFKD220","","0","2","軽油","","","0","","0","20230524","094901","000001","20230524","094901","000001"
"02","小名浜営業所","7394","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","071","z　ﾄﾗｸﾀ","","","","0","５tまで","999","なし","0","配車配置ボタンの対象としない","1","いわき","100","か","7394","20230522","202310","2","1","1","03","15","","2","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20230524","095255","000001","20230524","095255","000001"
