単位コード,単位コードID名,単位名称,単位略称,単位俗称,単位検索名称_半角カナ,数値項目1,数値項目2,数値項目3,数値項目4,数値項目5,文字項目1,文字項目2,文字項目3,文字項目4,文字項目5,ソート順,備考,登録日,登録時刻,登録社員コード,更新日,更新時刻,更新社員コード
"01","単位","ｋｌ","ｋｌ","ｋｌ","ｷﾛﾘｯﾄ","0","0","0","0","0","","","","","","1","","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"02","単位","ｔ","ｔ","ｔ","ﾄﾝ","0","0","0","0","0","","","","","","2","","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"03","単位","kg","kg","kg","ｷﾛｸﾞﾗ","0","0","0","0","0","","","","","","3","","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"04","単位","ＫＭ","ＫＭ","ＫＭ","ｷﾛﾒ-ﾄ","0","0","0","0","0","","","","","","4","","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"05","単位","式","式","式","ｼｷ","0","0","0","0","0","","","","","","5","","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"06","単位","車","車","車","ｼｬ","0","0","0","0","0","","","","","","6","","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"07","単位","c/s","c/s","c/s","ｹ-ｽ","0","0","0","0","0","","","","","","7","","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
"08","単位","回","回","回","ｶｲ","0","0","0","0","0","","","","","","8","","20180718","230155","SYSTEM","20180718","230155","SYSTEM"
